English,Yoruba
Digital ID in Nigeria: A case study,﻿Ìdánimọ̀ Orí ẹ̀rọ-ayárabíàṣá ní orílẹ̀-èdèe Nàìjíríà: Àgbéyẹ̀wò Ìṣẹ̀lẹ̀
In 2019 The Engine Room worked with in-country researchers to explore digital ID systems in five regions.,"Ní ọdún-un 2019, Engine Room Náà ṣiṣẹ́ pẹlu àwọn olùwádìí tí wọ́n jẹ́ ọmọ orílẹ̀-èdè ní àwọn agbègbè márùn-ún láti ṣe ìwádìí sí àwọn ètò ìdánimọ̀ orí-ẹ̀rọ ayárabíàṣá."
The goal of this project was to better understand the true effect that digital ID systems have on the local populations that operate within them.,Èròńgbà iṣẹ́ náà ni láti ní òye ipa tí àwọn ètò ìdánimọ̀ orí-ẹ̀rọ ayárabíàṣá ń kó lórí àwọn mẹ̀kúnnù tí wọ́n ń ṣe àmúlòo wọn.
"Our research in Nigeria consisted of six in-depth interviews with key informants in Abuja and online, as well as interviews and focus group discussions with a diverse group of citizens, including internally displaced persons, people with disabilities, people living in rural areas and affluent areas, and civil society organisations.","Ìwádìíi wa ní orílẹ̀-èdèe Nàìjíríà ní ìfọ̀rọ̀wánilẹ́nuwò ẹlẹ́kùnúnrẹ́rẹ́ mẹ́fà pẹ̀lú àwọn atanilólobó pàtàkì ní Abuja àti ní orí ayélujára, bákan náà ni a tún ṣe ìjíròrò pẹ̀lú àwọn ọmọ orílẹ̀-èdè mìíràn títí mọ́ àwọn ènìyàn tí wọ́n di aláìnílélórí, àwọn tí ó ní ìpèníjà-ara, àwọn ará ìgbèríko àti àwọn tí wọ́n ń gbé ní àdúgbò ọlọ́lá, pẹ̀lú àwọn àjọ ẹgbẹ́ àwùjọ."
This primary research was conducted between February and April 2019.,Ìwádìí àkọ́kọ́ṣẹ yìí wáyé láàárín-in oṣù Èrèlé àti oṣù Igbe ọdún-un 2019.
All quotations from key informant interviews and focus group discussions come from the field research phase during this period.,Gbogbo ọ̀rọ̀ àlàyé yẹbẹyẹbẹ láti inú ìfọ̀rọ̀wánilẹ́nuwò pẹ̀lú àwọn atanilólobó àti ìjíròrò nínú àwọn ẹgbẹ́ arọ́pòó wá láti ara iṣẹ́-ìwádìí náà ní àkókò yìí.
More information on the methodology can be found in the global report.[ See The Engine Room. (2020). Understanding the lived effects of digital ID: A multi-country report.],Ẹ̀kúnrẹ́rẹ́ àlàyé ńbẹ nínú ìjábọ̀ àgbáyé. [Wo Engine Room Náà. (2020). Mímọ ipa tí ìdánimọ̀ abẹ́rọ-ayárabíàṣá-ṣiṣẹ́ ń kó. Ẹ̀kúnrẹ́rẹ́ ìjábọ̀ ìwádìí àwọn orílẹ̀-èdè.]
"This project aims to understand the lived experiences of individuals, not to reflect representative samples of each population.","Ìpinnu iṣẹ́-ìwádìí yìí ni láti ní òye ìrírí àwọn ènìyàn kọ̀ọ̀kan, kì í ṣe láti ṣe àfihàn àpẹẹrẹ àwọn ọ̀wọ́ olùgbé kọ̀ọ̀kan."
We cannot necessarily extrapolate one person’s experience to the norm – though there are times when every person interviewed experienced an aspect of a system the same way – but each experience gives us insight into how a diverse range of people is impacted by digital infrastructure and protocols.,A kò leè ṣàìdédé ṣe àfikún ìrírí ẹnìkan kí ó lè dọ́gba pẹ̀lú ti gbogbo àwọn ènìyàn ìyòókù - bí ó tilẹ̀ jẹ́ pé àwọn àsìkò kan wà tí àwọn ẹni tí a fọ̀rọ̀ wá lẹ́nu wò ní ìrírí ètò náà lọ́nà kan náà poo - ṣùgbọ́n ìrírí kọ̀ọ̀kan ń fún wa ní òye ipa tí àwọn apèsè àti ohun amáyédẹrùn orí-ẹ̀rọ ayárabíàṣá ń kó láyé ọ̀kẹ́ àìmọye onírúurú èèyàn.
Digital ID System,Ètò Ìdánimọ̀ Orí-Ẹ̀rọ Ayárabíàṣá
