,English,Yoruba
2,Mummy you are troubling me.,Màámi wàhálà yín ti pọ̀jù.
3,"Just come with me, you'll see yourself. "," Ẹ ṣá tẹ̀lé mi, ẹ máa rí i fúnra yín."
4,I can't even find what I'm looking for there.,Mi ò tiẹ̀ rí nǹkan tí mò ń wá níbẹ̀.
5,You know I don't like surprises.,O mọ̀ pé mi ò nífẹ̀ẹ́ ìyàlẹ́nu.
6,"John, how are you? ","John, báwo ni?"
7," I'm sorry, I'll make a transfer tomorrow morning."," Má bínú, mo máa fi owó ránṣẹ́ láàárọ̀ ọ̀la."
8,Thank you very much.,O ṣé púpọ̀.
9,Okay ma.,Ó dáa ma.
10,Is this her?,Ṣé òun rè é?
11,Yes ma.,Bẹ́ẹ̀ ni ma.
12,Good afternoon ma.,Ẹ káàsán ma.
13,"Esther, you've been seeing mummy's pictures. "," Esther, ìwọ ṣáà ti ń rí àwòrán mummy dáadáa."
15,How are you?,Báwo ni o?
16,I'm fine.,Mo wà dáadáa.
17,Come over here,Máa bọ̀ níbí
18,"Femi, who is she? "," Fẹ́mi, báwo ni ó ṣe jẹ́?"
19,"Mummy, what else do you want me to say? ","Màámi, kí ni ẹ tún fẹ́ kí n sọ?"
20,She's my friend,Ọ̀rẹ́ mi ni
22,"Don't be offended my dear, he says you are his friend. ","Má bínú my dear , ó ní ọ̀rẹ́ òun lo jẹ́."
23,Can you now see?,Ṣé o rí i bayìí?
24,You will know how he behaves by now.,Ìwọ náà á ti mọ bó ṣe máa ń ṣe báyìí.
25,I have always told him to make himself as clear as possible.,Mo ti sọ fún un pé kí ó máa yànnàná ọ̀rọ̀ rẹ̀ dáadáa.
26,Mummy I'm clear enough now,Màámi nǹkan tí mo sọ yé yín
27,Stop acting like a baby,Yéé máa ṣe bí  ọmọ ọwọ́
28,Mummy I'm clear enough now," Màámi, ọ̀rọ̀ mi yé e yín"
29,"She's my friend, I want her to meet you. "," Ọ̀rẹ́ mi ni, mo fẹ́ kí ó ri yín."
30,Before I ask her hand in marriage,Kí n tó sọ fún un pé kí ó fẹ́ mi
31," Mummy, you have ruined all the surprises I had","Mummy, ẹ ṣáà ti ruin gbogbo surprises tí mo ní nísìn"
32,It's all your fault,Ẹ̀bi rẹ ni o
33,What you would have told me was....,Nǹkan tó ò bá ti sọ fún mi ni pé...
34,"""Mum meet Esther, she's my friend and I want to marry her"" "," ""Màámi, Esther rè é, ọ̀rẹ́ mi ni mo sì fẹ́ fẹ́ ẹ"""
35,I told you,Mo sọ fún ẹ
36,to stop behaving like a baby,ko yéé máa ṣe bí i ọmọ ọwọ́
38,"Don't mind mummy, she likes having things her way ","Má dá màámi lóhùn, wọ́n máa ń fẹ́ kí nǹkan ṣẹlẹ̀ bí wọ́n ṣe fẹ́ ẹ"
39,Hello my dear,Ǹlẹ́ ọmọ mi
40,Hi má,Ẹ rọra ma
41,How are you?,Báwo ni?
42,Very fine má,Dáadáa ni mà
43,"Oh! Beautiful, where are you from? ","O! Ìyẹn dára, ọmọ ìlú ibo ni ẹ?"
44,Are you sure?,Ṣé ó dá ẹ lójú?
45,"Like heart attack, I'm sure "," Bí ìkọlù ọkàn, Ó dá mi lójú"
46,Heart attack as how?, Ìkọlù ọkàn bí i ti báwo?
47,I told you not to talk like that,Mo ti ní kí o yéé máa sọ̀rọ̀ báyẹn
48,"Okay mummy, I'm very sure. I love her and I think she loves me back "," Ó dáa màámi, ó dá mi lójú. Mo nífẹ̀ẹ́ rẹ̀, mo sì lérò pé òun náà nífẹ̀ẹ́ mi bẹ́ẹ̀"
49,You think?,O lérò?
50,But we can't be too sure until we take the leap now right?,Ṣùgbọ́n a kò lè mọ̀ délẹ̀ tí a ò bá gbé Ìgbésẹ̀ náà?
51,"Femi, we need to be sure "," Fẹ́mi, a nílò ìdánilójú"
52,I have always prayed for you since you were a kid to find a wife,Láti kékeré ni mo ti máa ń gbàdúrà sọ́lọ́run pé ko rí ìyàwó
53,that is as good as your mom,tó dára bí i ti màmá ẹ
55," Mummy, you have started","Mummy, ẹ ti bẹ̀rẹ̀"
56,I am saying the truth Femi,Òótọ́ ni mò ń sọ Fẹ́mi
