English,Yoruba
Unit 1: What is Creative Commons?,﻿Ìdá 1: Kín ni Creative Commons?
This work is licensed under a Creative Commons Attribution 4.0 International License.,Iṣẹ́ yìí wà lábẹ́ àṣẹ Creative Commons Attribution 4.0 International License.
"Creative Commons is a set of legal tools, a nonprofit organization, as well as a global network and a movement — all inspired by people’s willingness to share their creativity and knowledge, and enabled by a set of open copyright licenses.","Creative Commons jẹ́ àwọn ọ̀kan-ò-jọ̀kan ohun-èlò ajẹmófin, iléeṣẹ́ àìlérèlórí, àti àjọ àwọn ènìyàn eléròǹgbà kan náà kárí àgbáńlá ayé— tí í ṣe ìmísí àwọn ènìyànkan tí ó ní ìfẹ́ tinútinú láti pín àwọn iṣẹ́-àtinúdá àti ìmọ̀ wọn èyí tí ó ní àtìlẹ́yìn àwọn ọ̀kan-ò-jọ̀kan àṣẹ ìṣísílẹ̀-gbangba-wálíà fún àtúnlò."
Creative Commons began in response to an outdated global copyright legal system.,"Creative Commons bẹ̀rẹ̀ láti wá wọ̀rọ̀kọ̀ fi ṣe àdá látàrí ètò, ẹ̀tọ́ àti àṣẹ-ẹ̀dà lórí iṣẹ́-ọpọlọ-àtinúdá àgbáńlá ayé tí kò bá ìgbà mu ."
CC licenses are built on copyright and are designed to give more options to creators who want to share.,Àwọn àṣẹ CC jẹ mọ́ àṣẹ ẹni tí ó ní iṣẹ́-àtinúdá tí ó jẹ́ pé ó fi àyè gba àwọn oníṣẹ́-ọpọlọ-àtinúdá láti yan oríṣìíríṣìí àṣẹ fún àtúnpín àti àtúnlò iṣẹ́.
"Over time, the role and value of Creative Commons has expanded. This unit will introduce you to where CC came from and where it is headed.",Ìgbàdéègbà ni ọpọ́n àti ojúṣe Creative Commons ń fẹjú sí i. Ìdá yìí yóò tú pẹrẹpẹ́ẹ̀rẹ̀ ibi tí CC ti ń bọ̀ àti ibi tí ó fi orí lé.
This unit has two sections:,Abala méjì ni ìdá yìí níi:
1.1 The Story of Creative Commons,1.1 Ìtàn Creative Commons
1.2 Creative Commons Today,1.2 Creative Commons Lónìí
There are also additional resources if you are interested in learning more about any of the topics covered in this unit.,Bákan náà ni àwọn àfikún wà tí ó ń ṣàlàyé síwájú bí o bá nífẹ̀ẹ́ sí ìtẹ̀síwájú ìṣípayá nípa èyíkéyìí orí-ọ̀rọ̀ tí ó wà nínú ìdá ẹ̀kọ́ yìí.
"Note: Completing the CC Certificate does not entitle learners to provide legal advice on copyright, fair use / fair dealing or open licensing.","Kíyèsíi: Torí wí pé o parí Ìwé-ẹ̀rí CC kò fún ọ gẹ́gẹ́ bí akẹ́kọ̀ọ́ láṣẹ láti pe ara rẹ̀ ní amòfin tí ó ń fún àwọn ènìyàn ní àmòràn ajẹmófin lórí àṣẹ-ẹ̀dà iṣẹ́-àtinúdá, ìfòtítọ́ lò / fifi òdodo lo iṣẹ́ tàbí àṣẹ ìṣísílẹ̀-gbangba-wálíà fun àtúnlò."
The content in this course and the information Certificate facilitators share is also not legal advice.,Àwọn àkóónú abala-ẹ̀kọ́ àti àwọn ìwífún àwọn olùkọ́ni Ìwé-ẹ̀rí náà kì í ṣe ìmọ̀ràn ajẹmófin.
"While you should not share legal advice to others based on course content, you will develop a high level of expertise upon completion of this course.","Bí ó ti jẹ́ wí pé o kò leè fún ẹnikẹ́ni nímọ̀ràn ajẹmófin lẹ́yìn tí o bùṣe nínú ẹ̀kọ́ inú ìdá yìí, wà á ní ìmọ̀ kíkún tí kò ní ẹlẹ́gbẹ́ bí o bá parí abala-ẹ̀kọ́ yìí."
"You will learn a lot about copyright, open licensing and open practices in various communities.",Ó dájú wí pé wà á kọ́ nípa àṣẹ-ẹ̀dà lórí iṣẹ́-àtinúdá àṣẹ ìṣísílẹ̀-gbangba-wálíà àti àwọn onírúurú ìṣe ìṣísílẹ̀-gbangba-wálíà láti agbègbè dé agbègbè.
"Upon graduation, you should feel comfortable sharing the facts about copyright and open licensing, case studies and good open practices.","Lẹ́yìn tí o bá gba oyè ẹ̀kọ́, ìrọ̀rùn ni ìṣípayá nípa àṣẹ-ẹ̀dà yóò jẹ́ fún ọ, bẹ́ẹ̀ náà ni wà á dántọ́ nínú àṣẹ ìṣísílẹ̀-gbangba-wálíà, wà á dájúdánú nínú àgbéyẹ̀wò ìṣẹ̀lẹ̀ àti ìmọ̀ àwọn ìṣe ìṣísílẹ̀-gbangba-wálíà tí ó kájú òṣùwọ̀n."
1.1 The Story of Creative Commons,1.1 Ìtàn Creative Commons
"To understand how a set of copyright licenses could inspire a global movement, you need to know a bit about the origin of Creative Commons.","Lílóye nípa bí àwọn ọ̀kan-ò-jọ̀kan àṣẹ-ẹ̀dà lórí iṣẹ́-àtinúdá ṣe mí sínú àwọn ènìyàn kárí ayé, o ní láti mọ bíntín bí Creative Common ti ṣe ṣẹ̀."
Learning Outcomes,Ìyọrísí Ẹ̀kọ́
Retell the story of why Creative Commons was founded,Sọ ìtàn ìdí tí a fi dá Creative Commons sílẹ̀
Identify the role of copyright law in the creation of Creative Commons,Tọ́ka sí àwọn ojúṣe òfin àṣẹ-ẹ̀dà lórí ìṣẹ̀dálẹ̀ Creative Commons
Big Question / Why It Matters,Ìbéèrè Àrágbáramúramù / Ìdí tí ó fi ṣe kókó
What were the legal and cultural reasons for the founding of Creative Commons?,Kí ni àwọn ìdí lábẹ́ òfin àti àṣà fún ìdásílẹ̀ Creative Commons?
Why has CC grown into a global movement?,Kín ni ìdí tí CC ṣe di igi àràbà tí gbogbo àgbáyé ń bá ṣe?
"CC’s founders recognized the mismatch between what technology enables and what copyright restricts, and they provided an alternative approach for creators who want to share their work.","Àwọn olùdásílẹ̀ CC rí àìṣe déédéé tí ó wà láàárín ìmọ̀-ẹ̀rọ àti àwọn ohun tí àṣẹ-ẹ̀dà pa ààlà fún, wọ́n sì wá ọ̀nà miiran fún àwọn oníṣẹ́-àtinúdá láti pín iṣẹ́ wọn."
Today that approach is used by millions of creators around the globe.,"Lónìí, ẹgbẹẹgbẹ̀rún lọ́nà ẹgbẹẹgbẹ̀rún àwọn oníṣẹ́-àtinúdá kárí àgbáńlá ayé ló ń lo ìlànà yìí."
Personal Reflection / Why It Matters to You,Ìfiyèsí ti ẹni / Ìdí tí ó fi ṣe kókó fún ọ
When did you first learn about Creative Commons?,Ìgbà wo ni ìgbà àkọ́kọ́ tí o gbọ́ nípa Creative Commons?
Think about how you would articulate what CC is to someone who has never heard of it.,Ronú nípa bí o ṣe máa ṣàlàyé ohun tí CC jẹ́ fún ẹni tí kò gbọ́ ohunkóhun nípa rẹ̀ rí.
"To fully understand the organization, it helps to start with a bit of history.","Láti ní òye pípé nípa iléeṣẹ́ náà, ó pọn dandan kí a kọ́kọ́ bẹ̀rẹ̀ pẹ̀lú ìṣẹ̀lẹ̀-àtẹ̀yìnwá ráńpẹ́."
Acquiring Essential Knowledge,Kíkọ́ ìmọ̀ tí ó ṣe Pàtàkì
The story of Creative Commons begins with copyright.,Ìtàn Creative Commons f’ẹsẹ̀lélẹ̀ pẹ̀lú àṣẹ-ẹ̀dà lórí iṣẹ́-àtinúdá.
"You’ll learn a lot more about copyright later in the course, but for now it’s enough to know that copyright is an area of law that regulates the way the products of human creativity are used - like books, academic research articles, music, and art.","Wà á kọ́ ní ẹ̀kúnrẹ́rẹ́ nípa àṣẹ-ẹ̀dà bí ó bá yá nínú abala-ẹ̀kọ́ yìí, àmọ́ nísinsìnyí ó tọ́ láti mọ̀ wí pé àṣẹ-ẹ̀dà jẹ́ ẹ̀ka ìmọ̀ òfin tí ń mú bí a ṣe ń lo iṣẹ́-ọpọlọ ẹ̀dá-ọmọ-ènìyàn wá sábẹ́ òfin – bí ìwé, àròkọ ìṣe-ìwádìí ajẹmákadá, orin, àti iṣẹ́-ọnà."
"Copyright grants a set of exclusive rights to a creator, so that the creator has the ability to prevent others from copying and adapting her work for a limited time.","Àṣẹ-ẹ̀dà fi àyè gba àwọn ọ̀kan-ò-jọ̀kan ẹ̀tọ́ tí ó jẹ́ ti oní-nǹkan nìkan, kí oní-nǹkan ó ba fi òfin de ẹlòmíràn lábẹ́ òfin láti má lè ṣe ẹ̀dà tàbí ṣe àyọlò iṣẹ́ rẹ̀ fún ìgbà ráńpẹ́."
"In other words, copyright law strictly regulates who is allowed to copy and share with whom.","Ní ọ̀nà mííràn, òfin àṣẹ-ẹ̀dà ní ń sọ bí ẹnikẹ́ni ti ṣe lè ṣe ẹ̀dà iṣẹ́ àti ẹni tí ó lè pín in fún."
