,english,yoruba
0,Local radio station in Russia cancels interview with LGBT activists after threats to editor,Ilé-iṣẹ́ Agbóhùnsáfẹ́fẹ́ Ìbílẹ̀ Fagilé Ìfọ̀rọ̀wọ́rọ̀ pẹ̀lú àwọn ajìjàǹgbara LGBT lẹ́yìn ìhalẹ̀mọ́ sí olóòtú,
1,Activists in Madrid protest LGBT rights violations in Russia,Àwọn ajìjàǹgbara ní Madrid fi ẹ̀hónú hàn lórí ìrúfin ẹ̀tọ́ LGBT ní Russia,
2,"Echo of Moscow in Yaroslavl, a local affiliate of Echo of Moscow, Russia’s oldest independent radio network, cancelled an interview with LGBT activists after receiving homophobic threats, the station’s editor Lyudmila Shabuyeva said in a Facebook post:","Ilé-iṣẹ́ Echo ti Moscow ní Yaroslavl tí ó jẹ́ ẹ̀ka ilé-iṣẹ́ Agbóhùnsáfẹ́fẹ́ Echo ti Moscow ìsopọ̀ tí ó ti dá dúró fún ìgbà pípẹ́ ní Russia fagi lé ìfọ̀rọ̀wọ́rọ̀ pẹ̀lú àwọn ajìjàǹgbara LGBT lẹ́yìn tí wọ́n gba ìhalẹ̀ láti ọ̀dọ̀ àwọn tí ó kórìíra-ìbálòpọ̀-láàárín-akọ-àti-akọ, olóòtú ilé-iṣẹ́ náà Lyudmila Shabuyeva sọ̀rọ̀ nínú àkọsílẹ̀ Facebook kan:",
3,Translation Original Quote,Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an,
4,Yesterday we received threats against our guests and ourselves if we proceed with our talk show about LGBT.,"Ní àná, a gba ìhàlẹ̀ kan tí ó ń lérí mọ́ àwa àti àwọn àlejòo wa tí a bá tẹ̀síwajú pẹ̀lú ètò ìfọ̀rọ̀wọ́rọ̀ọ wa nípa LGBT.",
5,I’m cancelling the show.,Mò ń fagi lé ètò náà.,
6,"According to independent newspaper Novaya Gazeta, the show featuring Yaroslavl’s LGBT activists was scheduled to air in the early morning of Wednesday, January 23.","Gẹ́gẹ́ bí ìwé ìròyìn tí ò sí ní abẹ́ ìṣàkóso ìjọba  Novaya Gazeta ti ṣe sọ, ó yẹ kí ètò náà tí yóò ṣe àfihàn àwọn ajìjàǹgbara LGBT ní Yaroslavl wáyé ní òwúrọ̀ Ọjọ́rú 23, ní oṣù Ṣẹẹrẹ.",
7,"The same activists had recently picketed the town’s main square to protest against the persecution of gay people in Russia, notably in the republic of Chechnya.","Àwọn ajìjàǹgbara yìí kan náà ṣẹ̀ṣẹ̀ fi ẹ̀hónú hàn ní gbàgede ìlú láti tako ìfìyàjẹ àwọn aṣe-ìbálòpọ̀-akọ-àti-akọ ní Russia, pàápàá jùlọ ní orílẹ̀ Chechnya.",
8,The station invited them to be interviewed about the protest and their experience of being openly gay in provincial Russia.,Ilé-iṣẹ́ agbóhùnsáfẹ́fẹ́ náà pè wọ́n láti fi ọ̀rọ̀ wá wọn lẹ́nu wò nípa ìfẹ̀hónúhàn àti ìrírí wọn fún jíjáde sí gbangba gẹ́gẹ́ bíi aṣe-ìbálòpọ̀-akọ-àti-akọ ní ẹ̀ka-ìlúu Russia.,
9,"Shabuyeva’s initial announcement of the show attracted a torrent of homophobic abuse in the comments, including some from local officials, but that didn’t put her off, she told Novaya Gazeta.","Ìkéde Shebuyeva àkọ́kọ́ nípa ètò náà fa ẹgbẹlẹmùkù èébú ìkórìíra-ìbálòpọ̀-láàárín-akọ́-àti-akọ nínú àwọn èsì, tí èsì sì wá láti ọ̀dọ̀ àwọn òṣìṣẹ́ ọba kan bákan náà, ṣùgbọ́n ìyẹn ò mú ọkàn-an rẹ̀ kúrò, ó sọ fún Novaya Gazeta.",
10,"However, late in the night before the show, Shabuyeva says, a stranger called her on the phone from an unidentified number and told her that if she were to proceed with the scheduled programming, her guests would be met outside the studio with baseball bats.","Ṣùgbọ́n ní alẹ́ ọjọ́ tí ètò náà ku ọ̀la, Shabuyeva sọ̀rọ̀ pé òun gba ìpè àjèjì láti orí òpó ẹ̀rọ-ìbánisọ̀rọ̀ kan tí kò ṣe é dámọ̀, ẹni náà sì sọ fún òun pé bí òun bá tẹ̀síwajú pẹ̀lú ètò náà bí ó ṣe ti pinnu, wọ́n máa fi igi ìgbábọ́ọ̀lù-afọwọ́jù pàdé àwọn àlejò rẹ ní ìta ilé-iṣẹ́ náà.",
11,"She could also face problems, the anonymous caller threatened.","Òun náà sì lè kojúu wàhálà, onípè àjèjì náà léríléka.",
12,"Fearing for her guests’ safety, Shabuyeva cancelled the show and replaced it with another programming.","Nítorí ìbẹ̀rù fún ààbò àwọn àlejòo rẹ̀, Shabuyeva fagilé ìfọ̀rọ̀wánilẹ́nuwò náà tí ó sì fi ètò mìíràn rọ́pòo rẹ̀.",
13,The picket on Yaroslavl’s main square was part of a national campaign #saveLGBTinRussia aimed at raising awareness about the brutal persecution of gay people in the republic of Chechnya.,Ìfẹ̀hónúhàn tí ó wáyé ní gbàgede ìlú wà lára ìkéde gbogboògbò #saveLGBTinRussia tí wọ́n fi ń polongo ìyà tí ó rorò tí wọ́n fi ń jẹ àwọn ènìyàn aṣe-ìbálòpọ̀-akọ-àti-akọ ní orílẹ̀ Chechnya.,
14,Similar pickets and rallies were held in other Russian cities.,Àwọn ìwọ́de àti ìfẹ̀hónúhàn irú èyí wáyé ní àwọn ìlú mìíràn ní Russia.,
15,The Motherland Calls on her children (the citizens) to fight xenophobia and repressions in modern Russia.,Ìlú ń ké pe àwọn ọmọ rẹ̀ (àwọn ọmọ ìlú) láti dojú ìjà kọ ìwà elẹ́yàmẹyà àti ìtẹ̀mọ́lẹ̀ ní Russia òde-òní.,
16,Let her call awaken you!,Jẹ́ kí ìpèe rẹ̀ ta ọ́ jí!,
17,[the sign says: RUSSIA’S DEPARTMENT OF JUSTICE COULD FIND NO GAYS IN CHECHYA.,[àmì náà ń sọ pé: Ẹ̀KA ÌṢÈDÁJỌ́ TI ORÍLẸ̀-ÈDÈE RUSSIA Ò RÍ ÀWỌN AṢE-ÌBÁLÒPỌ̀-AKỌ-ÀTI-AKỌ NÍ CHECHYA.,
18,THEY ARE THERE: IN PRISONS AND IN GRAVES.,WỌ́N WÀ NÍBẸ̀: NÍNÚ ÀWỌN ỌGBÀ Ẹ̀WỌ̀N ÀTI IBOJÌ-ÒKÚ.,
19,#SAVELGBTINRUSSIA HOMOPHOBIA=FASCISM,#SAVELGBTINRUSSIA Ẹ̀TANÚ ÌBÁLÒPỌ̀-LÁÀÁRÍN-AKỌ-ÀTI-AKỌ = ÌJỌBA AFIPÁMÚNI,
20,"In April 2017, Novaya Gazeta reported that the authorities of Chechnya, a troubled Muslim republic in the south of Russia ruled by a former warlord Ramzan Kadyrov, was waging a brutal campaign of repressions against its LGBT population.","Nínú oṣù Igbe 2017, Novaya Gazeta jábọ̀ pé àwọn aláṣẹ ní Chechnya, ti ìlú oníjọba Ìmọ́lẹ̀ tí ó ń rí ìdààmú jù ní gúúsù Russia tí ajagun fẹ̀yìntì Ramzan Kadyrov, ń ṣe olóríi rẹ̀, ń ṣe ìpolongo tí ó rorò tí ó ń tako ìtẹ̀mọ́lẹ̀ àwọn ènìyàn tí í ṣe LGBT tí ó ń gbé nínúu rẹ̀.",
21,"Recent reports said the ""purge"" has been intensifying, with at least two victims dead and dozens held in illegal detention.","Ìròyìn tí ó jáde ní àìpẹ́ sọ pé ""ìfọ̀mọ́ "" náà le gidi gan-an ni, pẹ̀lú ikú èèyàn méjì ó kéré tán àti ogunlọ́gọ̀ àwọn tí ó wà ní àtìmọ́lé tí ó lòdì sí òfin.",
22,#FreeAmade: Journalist arrested and tortured after reporting on violence in northern Mozambique,#FreeAmade: Akọ̀ròyìn tí a mú tí a sì dá lóró lẹ́yìn tí ó kọ ìròyìn lórí ìwà jàgídí jàgan tí ó ń ṣẹlẹ̀ ní Àríwá Mozambique,
23,"Survivors who lost relatives and houses rest outside following the June 5 attack in the village of Naunde in Cabo Delgado, Mozambique.",Àwọn ẹni-orí-kó-yọ tí wọ́n pàdánù ẹbí àti ilé ń sinmi níta gbangba lẹ́yìn ìkọlù ọjọ́ 5 oṣù Òkúdù ní abúlé Naunde ní Cabo Delgado nílùú Mozambique.,
24,"Photo by Borges Nhamire, used with permission.",Àwòrán láti ọwọ́ Borges Nhamira pẹ̀lú àṣẹ ìlò.,
25,"Mozambican journalist Amade Abubacar was arrested on January 5, while reporting on a trend of violent attacks on small villages in Mozambique's province of Cabo Delgado.",Wọ́n mú akọ̀ròyìn Mozambique kan ní ọjọ́ 5 oṣù Ṣẹẹrẹ níbi tí ó ti ń jábọ̀ ìròyìn nípa ìkọlù tí ó ń dé bá àwọn abúlé kéréje ní ìgbèríko Cabo Delgado ní Mozambique.,
26,"Located in northern Mozambique, Cabo Delgado is rich with natural resources, such as ruby, charcoal and natural gas, found in the Rovuma Basin.","Cabo Delgado wà ní àríwá orílè-èdè Mozambique, ó kún fún àwọn ohun àlùmọ́nì bí i òkúta iyebíye, èédú àti afẹ́fẹ́ gáàsì tí wọ́n rí ní Rovuma, ilẹ tí omí yí ká.",
27,Some observers say the group coordinating the attacks intends to begin trafficking these resources.,Àwọn olùkíyèsí sọ pé ẹgbẹ́ tí ó ń darí ìkọlù yìí ní i lọ́kàn láti máa jí àwọn ohun àlùmọ́nì yìí kó.,
28,"Since October 2017, multiple attacks have been carried out in different districts of Cabo Delgado by what appears to be the same rogue group.","Láti oṣù Ọ̀wàrà 2017, àìmọye ìkọlù ni ó ti wáyé ní oríṣiríṣìí ìgbèríko ní Cabo Delgado láti ọwọ́ àwọn ẹgbẹ́ jàndùkú kan náà.",
29,"Many media have reported on the attacks, but state officials have been unwilling to comment on or confirm evidence in these cases.",Ọ̀pọ̀lọpọ̀ àwọn iléeṣẹ́ ìròyìn ni wọ́n ti jábọ̀ lórí àwọn ìkọlù yìí ṣùgbọ́n kò tilẹ̀ wu àwọn ìjọba láti sọ̀rọ̀ lé e tàbí kí wọ́n fi ìdí àrídájú ẹ̀rí múlẹ̀ nínú àwọn ọ̀rọ̀ yìí.,
30,"In 2018, more than one hundred people were prosecuted together in relation to these crimes. Their trial is expected to end this year.","Ní 2018, èèyàn tó lé lọ́gọ́rùn-ún ni wọ́n bá ṣẹjọ́ lórí àwọn ọ̀ràn yìí. Ó yẹ kí ẹjọ́ọ wọn ó parí lọ́dún yìí.",
31,#FreeAmade: campaign to release Mozambican journalist,#FreeAmade: Ìpolongo láti gba Akọ̀ròyìn Mozambique sílẹ̀,
32,"Amade Aoubacar works with the Mozambican Social Communication Institute and as a journalist with news site Zitamar and the local radio station, Nacedje.","Amade Abubacar ń ṣiṣẹ́ pẹ̀lú Mozambican Social Communication Institute, ó sì ń ṣiṣẹ́ gẹ́gẹ́ bí akọ̀ròyìn pẹ̀lú ibùdó ìròyìn orí ayélujára Zitamar àti iléeṣẹ́ ìgbóhùnsáfẹ́fẹ́ ìbílẹ̀ Nacedje.",
33,"The journalist was arrested and detained by Mozambican federal police on January 5, while photographing survivors of an attack in Cabo Delgado.","Àwọn ọlọ́pàá ìjọba àpapọ̀ Mozambique mú akọ̀ròyìn náà ní ọjọ́ 5 níbi tí ó ti ń ya àwòrán àwọn ẹni-orí-kó-yọ nínú ìkọlù kan ní Cabo Delgado, wọ́n sì tì í mọ́lé.",
34,"Amade was then taken to a military quarter of the Defense Forces of Mozambique in the district of Mueda, despite not being a member of the armed forces.","Lẹ́yìn náà, wọ́n mú Amade lọ sí ibùdó àwọn ológun Mozambique ní ìgbèríko Mueda láìjẹ́ ọmọ ẹgbẹ́ ológun.",
35,"After a few weeks, he was transferred to a civilian prison to legalize his detention in Pemba, capital of Cabo Delgado .","Lẹ́yìn ọ̀sẹ̀ díẹ̀, wọ́n gbé e lọ sí ẹ̀wọ̀n gbogboògbò láti mú kí àtìmọ́lé rẹ̀ bá òfin mu ní Pemba, olú ìlú Cabo Delgado.",
36,"After he arrived at the civilian prison, Amade contacted the Mozambican Order of Lawyers and reported having experienced torture at the hands of Mozambican armed forces, who he says beat him and deprived him of food.","Lẹ́yìn tí ó dé ẹ̀wọ̀n gbogboògbò, Amade pe ẹgbẹ́ àwọn agbẹjọ́rò Mozambique tí ó sì sọ bí ó ṣe ti jìyà tó lọ́wọ́ àwọn ológun Mozambique tí ó ní wọ́n na òun tí wọ́n sì fi ebi pa òun.",
37,"Many individuals and media freedom groups have spoken out in his Abubacar's defense, saying that his arrest and detention have threatened the exercise of free expression.",Ọ̀pọ̀lọpọ̀ èèyàn àti ẹgbẹ́ ajàfómìnira ti sọ̀rọ̀ síta láti gbèjà Abubacar tí wọ́n sọ pé mímú tí wọ́n mú un àti àtìmọ́lée rẹ̀ ti dẹ́rùba òmìnira ẹni láti sọ̀rọ̀.,
