English	Yoruba
Assemblies Held in Angola Refugee Camp in Lingala and Tshiluba Languages	Àwọn Àpéjọ Tá A Ṣe Ní Orílẹ̀-Èdè Àǹgólà Ní Ibùdó Àwọn Tó Ń Wá Ibi Ìsádi Ní Èdè Lingala àti Tshiluba
Construction of New Branch Office in Cameroon Underway	Iṣẹ́ Ń Lọ Lọ́wọ́ Lórí Ẹ̀ka Ọ́fíìsì Tuntun Tí À Ń Kọ́ ní Kamẹrúùnù
Update: New Cameroon Branch Office Taking Shape	Ìròyìn: Iṣẹ́ Ti Ń Lọ Gan-an Lórí Ẹ̀ka Ọ́fíìsì Tuntun ní Kamẹrúùnù
Jehovah’s Witnesses Release Bassa-Language Christian Greek Scriptures in Cameroon	Àwọn Ẹlẹ́rìí Jèhófà Mú Ìwé Mímọ́ Kristẹni Lédè Gíríìkì Jáde Lédè Bassa ní Orílẹ̀-èdè Kamẹrúùnù
Brothers in Northeast Congo Flee From Fighting	Àwọn Ará ní Àríwá Ìlà Oòrùn Kóńgò Sá Torí Àwọn Tó Ń Jà
Deadly Ebola Spreads in the Democratic Republic of the Congo	Àrùn Ebola Ń Jà Ràn-ìn Lórílẹ̀-Èdè Congo
A Quarter Century Behind Bars in Eritrea	Wọ́n Ti Lo Ọdún Mẹ́ẹ̀ẹ́dọ́gbọ̀n (25) Lọ́gbà Ẹ̀wọ̀n ní Eritrea
Sister Killed in Ethiopian Airlines Plane Crash	Arábìnrin Kan Kú Nínú Jàǹbá Ọkọ̀ Òfúrufú Ethiopian Airlines
Gabon Special Preaching Campaign	Àkànṣe Ìwàásù Lórílẹ̀-Èdè Gabon
Attack on Hotel Compound in Kenya	Àwọn Adigunjalè Wá sí Hòtẹ́ẹ̀lì Kan ní Kenya
Jehovah’s Witnesses Release Luo-Language New World Translation of the Holy Scriptures in Kenya	Àwa Ẹlẹ́rìí Jèhófà Mú Bíbélì Mímọ́ ti Ìtumọ̀ Ayé Tuntun Jáde Lédè Luo Lórílẹ̀-Èdè Kẹ́ńyà
New Theocratic School Facility Dedicated in Kenya	A Ya Ilé Ẹ̀kọ́ Ètò Ọlọ́run Kan Sí Mímọ́ ní Kẹ́ńyà
Cyclone Ava Devastates Madagascar	Ìjì Cyclone Ava Kọlu Madagásíkà
Letter-Writing Campaign for Our Brothers in Russia​—From Malawi	Àwa Ẹlẹ́rìí Jèhófà Kọ Lẹ́tà Nítorí Àwọn Ará Wa ní Rọ́ṣíà​—Láti Màláwì
Cyclone Kenneth Hits Northern Mozambique	Ìjì Líle Kenneth Jà ní Àríwá Mòsáńbíìkì
“An Explosion of Delight”—Revised New World Translation Released in Two Nigerian Languages	“Ìdùnnú Ṣubú Layọ̀”—A mú Bíbélì Ìtumọ̀ Ayé Tuntun Tá A Tún Ṣe Jáde Lédè Méjì ní Nàìjíríà
Heavy Rainfall in Nigeria	Òjò Àrọ̀ọ̀rọ̀dá Rọ̀ ní Nàìjíríà
Heavy Rains Cause Severe Flooding in Nigeria	Òjò Àrọ̀ọ̀rọ̀dá Fa Omíyalé ní Nàìjíríà
Rwanda Branch Begins Translation Work Into Rwandan Sign Language	Ẹ̀ka Ọ́fíìsì Wa ní Rùwáńdà Bẹ̀rẹ̀ Sí Í Túmọ̀ Ìwé Bíbélì sí Èdè Adití Lọ́nà ti Rùwáńdà
Remembering the Rwandan Genocide—25 Years Later	Wọ́n Rántí Ìpẹ̀yàrun Tó Ṣẹlẹ̀ Ní Rùwáńdà Lẹ́yìn Ọdún Márùndínlọ́gbọ̀n
Heavy Rainstorms Strike Rwanda	Òjò Oníjì Líle Ṣọṣẹ́ ní Rùwáńdà
Jehovah’s Witnesses Hold First Regional Convention in Rwandan Sign Language	Àwa Ẹlẹ́rìí Jèhófà Ṣe Àpéjọ Àgbègbè Lédè Adití Fún Ìgbà Àkọ́kọ́ Ní Rùwáńdà
Deadly Landslides in Sierra Leone	Ilẹ̀ Ya, Ó Sì Pa Àwọn Èèyàn ní Siria Lóònù
Johannesburg, South Africa—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Ti Ọdún 2019 Tí A Ṣe Ní Ìlú Johannesburg, Lórílẹ̀-Èdè South Africa
Jehovah’s Witnesses Release the New World Translation of the Christian Greek Scriptures in Kwanyama	Àwa Ẹlẹ́rìí Jèhófà Mú Ìwé Mímọ́ Kristian Lédè Griki ní Ìtumọ̀ Ayé Titun Jáde Lédè Kwanyama
New World Translation Released in Three Languages During South Africa International Convention	A Mú Bíbélì Ìtumọ̀ Ayé Tuntun Jáde ní Èdè Mẹ́ta ní Àpéjọ Àgbáyé Tá A Ṣe Lórílẹ̀-Èdè South Africa
South Africa Copes With Torrential Rains and Floods	Òjò Àrọ̀ọ̀rọ̀dá àti Omíyalé ní South Africa
Major Flooding in Togo	Àkúnya Omi Wáyé Lórílẹ̀-Èdè Tógò
Jehovah’s Witnesses Release Revised New World Translation in Shona	Àwa Ẹlẹ́rìí Jèhófà Mú Bíbélì Ìtumọ̀ Ayé Tuntun Tá A Tún Ṣe Jáde Lédè Shona
Construction Begins on New Branch Facility in Argentina	Iṣẹ́ Ti Bẹ̀rẹ̀ Lórí Ẹ̀ka Ọ́fíìsì Tuntun ní Ajẹntínà
Massive Public Witnessing Campaign Accompanies the 2018 Summer Youth Olympic Games in Argentina	A Wàásù Lákànṣe Níbi Térò Pọ̀ sí Nígbà Eré Ìdárayá Òlíńpíìkì Tó Wáyé ní Ajẹntínà Lọ́dún 2018
Sister Cecilia Alvarez Has 43 Bloodless Surgeries in 25 Years	Ọmọ Ọdún Mẹ́ẹ̀ẹ́dọ́gbọ̀n (25) Ni Arábìnrin Cecilia Alvarez, Àmọ́ Ó Ti Ṣe Iṣẹ́ Abẹ Mẹ́tàlélógójì (43) Láì Gba Ẹ̀jẹ̀
Landslide in Bolivia Wracks La Paz Neighborhood	Ilẹ̀ Ya Lórílẹ̀-Èdè Bolivia, Ó sì Ba Nǹkan Jẹ́ Nílùú La Paz
São Paulo, Brazil—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Tá A Ṣe ní 2019—São Paulo, Brazil
Cleanup Underway After Destructive Flooding in Brazil	Àwọn Ará Wa Ṣèrànwọ́ Lẹ́yìn Tí Àkúnya Omi Ṣọṣẹ́ Lórílẹ̀-èdè Brazil
Devastating Dam Collapse in Brazil	Ibi Tó Ń Gba Omi Dúró Ya Lulẹ̀ ní Brazil
Devastating Fire Torches Manaus, Brazil	Iná Ńlá Sọ Nílùú Manaus, ní Brazil
Supreme Court of Canada Rules in Favor of Jehovah’s Witnesses	Ilé Ẹjọ́ Gíga Jù Lọ ní Kánádà Dá Àwa Ẹlẹ́rìí Jèhófà Láre
Supreme Court of Canada Refuses to Interfere With Disfellowshipping Procedure	Ilé Ẹjọ́ Gíga Jù Lọ ti Kánádà Kọ̀ Láti Dá sí Ètò Ìyọlẹ́gbẹ́
2020 Memorial Commemoration—Canada	Ìrántí Ikú Kristi Tá A Ṣé Lọ́dún 2020​—Orílẹ̀-èdè Kánádà
Major Flooding in Canada	Omíyalé Ṣẹlẹ̀ ní Kánádà
Peace In a Time of Panic	Ọkàn Wọn Balẹ̀ Lásìkò tí Àrùn COVID-19 Ń Jà
Toronto, Canada—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Tá A Ṣe ní 2019—Toronto, Kánádà
Jehovah’s Witnesses Receive Recognition for Bible Education Work With Prisoners in Colombia	Wọ́n Fún Àwa Ẹlẹ́rìí Jèhófà ní Ìwé Ẹ̀rí Torí Bá A Ṣe Ń Kọ́ Àwọn Ẹlẹ́wọ̀n Lẹ́kọ̀ọ́ Bíbélì ní Kòlóńbíà
Cuba Battered by Tornado	Ìjì Líle Fa Àjálù Ńlá ní Cuba
Witness Family Dies in Plane Crash in Cuba	Ìdílé Ẹlẹ́rìí Jèhófà Kan Kú Sínú Jàǹbá Ọkọ̀ Òfuurufú ní Cuba
Guayaquil, Ecuador—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Tá A Ṣe ní 2019​—Guayaquil, Ecuador
Witnesses in Ecuador Successfully Preach From Home	Àwọn Ẹlẹ́rìí ní Ecuador Ń Wàásù Fáwọn Èèyàn Láì Kúrò Nílé
Volcano Erupts in Guatemala	Òkè Ayọnáyèéfín Bú Gbàù ní Guatemala
Earthquake Shakes Northern Haiti	Ìmìtìtì Ilẹ̀ Wáyé ní Àríwá Ilẹ̀ Haiti
Tropical Storm Lidia Hits Mexico	Ìjì Tí Wọ́n Pè Ní Lidia Jà ní Orílẹ̀-Èdè Mẹ́síkò
Magnitude 7.1 Earthquake Rocks Central Mexico	Ìmìtìtì ilẹ̀ tó lágbára tí ìwọ̀n rẹ̀ jẹ́ 7.1 wáyé ní àárín gbùngbùn orílẹ̀-èdè Mẹ́síkò
Hurricane Max Hits Southern Mexico	Hurricane Max jà ní gúùsù orílẹ̀-èdè Mẹ́síkò
After Devastating Earthquakes, Jehovah’s Witnesses in Central America Complete Major Relief Project	Àwọn Ẹlẹ́rìí Jèhófà Parí Ètò Ìrànwọ́ ní Amẹ́ríkà Àárín Lẹ́yìn Ìmìtìtì Ilẹ̀ Tó Wáyé
Witnesses Poised to Launch Major Rebuilding Work in Guatemala and Mexico After Devastating Earthquakes	Àwọn Ẹlẹ́rìí Jèhófà Ti Ṣe Tán Láti Bẹ̀rẹ̀ Àtúnṣe Sáwọn Ilé Tí Ìmìtìtì Ilẹ̀ Bà jẹ́ ní Guatemala àti Mexico
Monterrey, Mexico—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Tá A Ṣe ní 2019—Monterrey, Mẹ́síkò
Earthquake Hits Mexico	Ìmìtìtì Ilẹ̀ Wáyé ní Mẹ́síkò
Jehovah’s Witnesses in Jalisco, Mexico, Forced From Their Homes in Huichol Community	Wọ́n Fi Ipá Lé Àwọn Ẹlẹ́rìí Jèhófà tó Jẹ́ Huichol Kúrò Nílé Wọn ní Jalisco, Orílẹ̀-Èdè Mexico
Back-to-Back Natural Disasters Bombard Mexico	Ìjì Líle Jà Tẹ̀ Léra ní Mẹ́síkò
Jehovah’s Witnesses Release New World Translation in Guarani	Àwa Ẹlẹ́rìí Jèhófà Mú Bíbélì Mímọ́ ti Ìtumọ̀ Ayé Tuntun Jáde Lédè Guarani
Floodwaters Inundate Paraguay	Àkúnya Omi Ṣẹlẹ̀ Lórílẹ̀-Èdè Paraguay
Special Campaign in Puno, Peru, Reaches Aymara-Speaking People	Àkànṣe Ìwàásù Dé Ọ̀dọ̀ Àwọn Tó Ń Sọ Èdè Aymara Nílùú Puno, Lórílẹ̀-Èdè Peru
Thailand Embassy Expresses “Sincere Appreciation and Admiration” to Jehovah’s Witnesses in Peru for Helping Detained Thai Citizens	Ilé Iṣẹ́ Ìjọba Thailand “Gbóríyìn àti Òṣùbà” Fáwọn Ẹlẹ́rìí Jèhófà Nílẹ̀ Peru Torí Wọ́n Ṣèrànwọ́ Fáwọn Ọmọ Ilẹ̀ Thailand Tó Wà Lẹ́wọ̀n
Jehovah’s Witnesses in Peru Expand Public Witnessing Surrounding Sporting Events	Àwọn Ẹlẹ́rìí Jèhófà Ní Orílẹ̀-èdè Peru Mú Kí Iṣẹ́ Ìwàásù Níbi Térò Pọ̀ Sí Gbòòrò Yíká Ibi Àwọn Eré Ìdárayá
Initial Reports on the Aftermath of Hurricane Maria	Ìròyìn Tá a kọ́kọ́ gbọ́ nípa ìjì ńlá kan tí wọ́n pè ní Hurricane Maria
Update From Puerto Rico After Hurricane Maria	Ìròyìn láti Puerto Rico Lẹ́yìn ìjì líle Hurricane Maria
Witnesses in the United States Cope With Impact of Hurricane Harvey	Àwọn Ẹlẹ́rìí Jèhófà Tó Wà ní Amẹ́ríkà Ń Bá Ìgbòkègbodò Wọn Nìṣó Lẹ́yìn Ìjì Líle Hurricane Harvey
Severe Weather Pummels Sections of the United States	Ojú Ọjọ́ Tí Kò Bára Dé Ba Nǹkan Jẹ́ Láwọn Ibì Kan Lórílẹ̀-Èdè Amẹ́ríkà
Earthquakes Rattle Southern California	Ìmìtìtì Ilẹ̀ Ṣọṣẹ́ Ní Gúúsù California
St. Louis, United States—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! ti Ọdún 2019 Tí A Ṣe Ní St. Louis Lórílẹ̀-Èdè Amẹ́ríkà
Major Earthquake in Alaska	Ìmìtìtì Ilẹ̀ Tó Lágbára ní Alaska
Severe Weather and Tornadoes Ravage the South and Midwest of the United States	Ìjì Lílé Ṣọṣẹ́ Láwọn Agbègbè Kan Lórílẹ́-èdè Amẹ́ríkà
Historic Hurricane Dorian Pummels Bahamas	Ìjì Líle Tó Ń Jẹ́ Dorian Ṣọṣẹ́ Lórílẹ̀-èdè Bahamas
Hurricane Michael, One of the Strongest Storms in US History, Causes Catastrophic Destruction	Ìjì Líle Michael, Ọ̀kan Lára Èyí Tó Le Jù Tó Tíì Jà Nílẹ̀ Amẹ́ríkà Ba Nǹkan Jẹ́ Lápọ̀jù
Houston, United States (English)—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Tá A Ṣe ní 2019​—Houston, Orílẹ̀-èdè Amẹ́ríkà (Gẹ̀ẹ́sì)
Wildfires Devastate California	Iná Runlérùnnà ní Ìpínlẹ̀ California
Atlanta, United States—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Tá A Ṣe ní 2019—Atlanta, Orílẹ̀-èdè Amẹ́ríkà
