English,Yoruba
The requested channel does not exist on the content server,Ìkànnì náà tí o béèrè fún kò sí lóri àpèsè àkóónú
Unknown format,Fọ́máàtì yìí kò sí
There was a network error.,Ìńtánẹ́ẹ̀tì ń ṣe ségesège.
Unsupported browser,Ìlujá ìwádìí yìí kò le ṣiṣẹ́
No appropriate redirect pages found. ,Kò sí àwọn ojú ewé tí ò ń wá. 
It is likely that Kolibri is badly configured,Ó ṣeé ṣe kó jẹ́ pé ìkànnì Kolibri kò ṣiṣẹ́ bó ṣe yẹ
Change Password,Ṣàyípadà ọ̀rọ̀-ìfiwọlé
Which facility do you want to sign in to?,Irúfẹ́ ohun èlò wo ni o fẹ́ wọlé sí?
Explore without account,Ṣàwárí láìní ìṣàmúlòo
Kolibri is an e-learning platform. ,Ìkànnì ìkẹ́kọ́ lórí ayélujára ni Kolibri jẹ́. 
You can also use your Kolibri account to log in to some third-party applications.,O tún le fi ìṣàmúlòo Kolibri rẹ wọlé sí àwọn àkántì míràn.
Powered by Kolibri,Kolibri ló ṣe onígbọ̀wọ́ èyí
Password is required for coaches and admins,A nílò ọ̀rọ̀-ìfiwọlé fún àwọn olùkọ́ àti alákòóso
Incorrect username or password,Orúkọ ìdánimọ̀ tàbí ọ̀rọ̀-aṣínà kò tọ́
Learn more about usage and privacy,kọ́ ẹ̀kọ́ díẹ̀ síi nípa ìlò àti ibi àṣírí
Step 1 of 2,Ìgbésẹ̀ 1 nínú 2
Step 2 of 2,Ìgbésẹ̀ 2 nínú 2
Please select the default language for Kolibri,Jọ̀wọ́ yan èdè àkùnàyàn fún Kolibri
"If retrying doesn't work, restart the server and refresh the page.","Bí ìgbìyànjú ò bá ṣiṣẹ́, tún apèsè tàn kí o tún ojú ewé sọdọ̀tun."
Something went wrong,Ohun kan ò tọ́
Please check your server connection and retry.,Jọ̀wọ́ ṣàyẹ̀wò àpèsè ìsopọ̀ rẹ kí o tún gbìyànjú.
Facility cannot be empty,Ohun èlò kòle ṣófo
Facility name,Orúkọ ohun èlò
Facility name cannot be more than 50 characters,Orúkọ ohun èlò kò le ju àádọ́ta (50) ẹyọ ọ̀rọ̀
