,English,Yoruba
0,"Ten years, twenty years, thirty years, forty years,","Ọdún mẹ́wàá, ogún ọdún, ọgbọ́n ọdún, ogójì ọdún,"
1,The Thermometer,Ẹ̀rọ Òṣùnwọ̀n Ìgbóná
2,The Barometer,Ẹ̀rọ òṣùnwọ̀n èéfún atẹ́gùn ojú-ọjọ́
3,Electric meter,Ẹ̀rọ òṣùnwọ̀n ináa mànàmáná
4,"The years go by, we get old, we gain wrinkles.","Ọdún ń gorí ọdún, a darúgbó, ara wa hunjọ."
5,"But what do you want? This is life. We are born, we grow, get old and die.","Àmọ́ kí lo fẹ́? Ilé ayé rèé. A bí wa, a dàgbà, darúgbó a sì kú."
6,One of the hypotheses that is most widely used by scientists to explain aging is the oxidative stress. ,Ọkan lára ìgbèrò-bẹ́ẹ̀ni-bẹ́ẹ̀kọ́ tó gbajúmọ̀ jùlọ láàárín onímọ̀ ìjìnlẹ̀ f'álàyé ìdarúgbó ni àfikún ìpalára. 
7,What is that?,Kí nìyẹn?
8,"In our body, there are small microscopic elements that we call ""cells"",","Ń’nú ara wa, n’ìṣù-átọ̀mù t'á ò lè f'ojú rí ìyẹn “pádi-ẹ̀jẹ̀,”"
9,which are the basis for the functioning of our organism.,tó jẹ́ ìpìlẹ̀ fún ìṣișẹ́ geere ẹ̀yà ara wa.
10,"At the cellular level, the oxygen we breathe interacts with organic molecules","Nínú pádi-ẹ̀jẹ̀ ààyè, èémí tí a mí sínú báwọn ẹ̀yà ara ṣe"
11,"and this generates unstable molecules called free radicals, unstable because there is a charge deficit in them.","èyí ní í fa àwọn àìṣedéédé tí ó fa èérí inú ara, àìṣedéédé nítorí àìpée wọn."
12,"And when there is a deficit, they will try to fill this void, nature just hates emptiness.","Bí kò bá tó, wọ́n yó gba ààyè àìtó yìí kan, ìṣẹ̀dá ò fẹ́ òfìfo."
13,"And in doing so, they will interact with other organic molecules","Nípa bẹ́ẹ̀, wọn yóò bá àwọn molecule mìíràn ṣe pọ̀"
14,only to get the charges they need to stabilize.,láti gba agbára tí yóò mú wọ́n ṣe déédéé.
15,It's like an unmarried person trying to stabilize by finding a partner.,Àfi bí àpọ́n t'ó ń gbìdánwò láti dúró déédéé nípasẹ̀ wíwá olólùfẹ́.
16,"It can, on his/her impulse, destroy the couple.","Ó tó, nípa tirẹ̀, láti tú tọkọtaya ká."
17,"It's the same with the free radicals, which cause damage at the cellular level.","Bákan náà ló rí pẹ̀lú àwọn èérí ara, tí ó le ṣàkóbá fún pádi ààyè."
18,"Fortunately, in our body, there are antioxidants,","Àmọ́ṣá, ara wa ní agbóguntàrùn,"
19,which are molecules capable of inhibiting these free radicals.,ìyẹn àwọn molecule tí ń báwọn èérí ara wọ̀nyí wọ̀yá ìjà.
20,"Some are obtained in the diet such as vitamin C and vitamin E,","À ń rí àwọn agbóguntàrùn yìí ń'nú oúnjẹ ajíra bíi vitamin C àti E,"
21,but sometimes there is an imbalance because free radicals are the majority.,ṣùgbọ́n nígbà mìíràn ajíra kì í tó láti bá ogunlọ́gọ̀ èérí ara jà.
22,"And that is the oxidative stress. This causes cellular damage, weakens the cell,","Èyí ni àfikún ìpalára. Èyí ń ṣèbàjẹ́ pádi ààyè, ba pádi-ẹjẹ̀ jẹ́,"
23,favors the installation of chronic diseases and accelerates aging.,fún àrùn ọlọ́jọ́ pípẹ́ láàyè àti dídarúgbó kíá.
24,What do we need to do? It is necessary to find new sources of antioxidants,Kí ni a ó ṣe? Ó pọn dandan láti wá àwọn agóguntàrùn tuntun
25,such as medicinal plants.,bí ewé àtegbò.
26,"[In Africa, 80% of the population uses plants to treat sickness.","Ńlẹ̀ adúláwò, ìdá ọgọ́rin èèyàn ló ń f'ewé wo àìsàn."
27,"So, it would be interesting to see if these plants have antioxidant properties.","Nígbà náà, kì bá dára bí a bá ṣèwádìí sí ewé wọ̀nyí fún ìgbóguntàrùn."
28,It is with this interest that in our laboratory we chose a plant P,Pẹlu ọkàn ìfẹ́ yìí ni a fi yan ewé P láàyò ní yàrá ìwádìí wa
29,"that is used to treat numerous diseases such as infections, malaria and jaundice","tí a fi ń wo ọ̀gọ̀rọ̀ àìsàn bí àkóràn, ibà àti ibà apọ́njú-pọ́ntọ"
30,"and we verified that this plant P had antioxidant properties towards the DPPH free radical, ","a sì rí i wípé ewé P yìí ní èròjà agóguntàrùn DPPH èérí ara,"
31,"because it provided an H+ proton to that free radical, which then became stable.","nítorí wọ́n ní èròjà H+ proton, tí yó d’ára padà bọ̀ sípò."
32,"In other words, our plant can be used to develop medicine","Lákòótán, ewée wá wúlò fún ìṣègùn"
33,that will treat diseases and at the same time constitute a source of antioxidants.,tí yó wo igba àrùn àti pèsè ìṣura fún ìgbóguntàrùn.
34,And that plant also contains molecules like flavonoids that have antioxidant properties.,Àti pé ewé ní molecule bíi flavonoid tí ó kún f'éròjà ìgbóguntàrùn
35,So this is a plus for our research.,Èyí jẹ́ àṣeyege ìwádìí ìjìnlẹ̀ẹ wa.
36,"Hello, I am Ricardo Gutiérrez Garcés and I want to tell you how, during my training","Ẹ ǹlẹ́ o, èmi ni Ricardo Gutiérrez Garcé, mo sì fẹ́ sọ fún ọ bí, nígbà ìdánilẹ́kọ̀ọ́ọ mi"
37,"with different groups in Brazil and Colombia, we started connecting","pẹ̀lú oríṣiríṣi ènìyàn ní Brazil àti Colombia, a bẹ̀rẹ̀ sí í yẹ"
38,"with the sky and the earth in different ways,","ojú-ọ̀run àti ilẹ̀-ayé wò lóríṣiríṣi ọ̀nà,"
39,through a topocentric astronomy and giving great importance to our place in the universe.,nípasẹ̀ ìwádìí ìràwọ̀ wíwò àti ibi pàtàkì tí a wà nínú Èdùmàrè.
40,"Since 2005 we started the construction of Ancient Astronomical Observatories,","Láti 2005 a bẹ̀rẹ̀ àkójọpọ̀ ìrírí ìmọ̀ ìjìnlẹ̀ ìràwọ̀ wíwò ìgbàanì,"
41,"[which allowed us to understand that we are part of a large ship, a traveling ship, which is the Earth.","tí ó fi yé wa wípé a wà nínú ọkọ̀ fẹ̀rẹ̀gẹ̀jẹ̀, ọkọ̀ arìnrìn-àjò, ìyẹn Ilẹ̀-ayé."
42,"Parallel with the Ancient Astronomical Observatories,","Ní ìbámu ìmọ̀ ìjìnlẹ̀ ìràwọ̀ wíwò ìgbàanì,"
43,we built historical astronomic instruments.,a kọ́ ẹ̀rọ ayédáyé fún ìwádìí ojú-ọ̀run.
44,These instruments were the legacy of countless ancestral communities.,Àwọn ẹ̀rọ wọ̀nyí jẹ́ ohun-ìní àìníye ìlú ìgbàanì.
45,"For example: the Arabian Astrolabe, the Armillary Spheres of Greece","Fún àpẹẹrẹ: ẹ̀rọ Astrolabe Lárúbáwá, Armillary Spheres ti Greece"
46,and the Calendars of the Mayan communities. We have come to realize that these Astronomical Instruments ,àti kàlẹ́ndà ìran Mayan. A ti wá mọ̀ wípé àwọn ẹ̀rọ ojú-sánmà wíwò wọ̀nyí
47,"are closely related to natural cycles, like","bá àwọn ojú-ọjọ́ àti àsìkò tan, gẹ́gẹ́ bíi"
48,"rainy seasons, dry seasons and the four seasons of the year.","àsìkò òjò, àsìkò ọ̀gbẹlẹ̀ àti àsìkò mẹ́rẹ̀ẹ̀rin nínú ọdún."
49,"From obvious questions, such as, ""Where does the Sun come from?""","Látara àwọn ìbéèrè bíi, ""Níbo ni oòrùn ti wá?"","
