,english,yoruba
0,"Alamu now enjoys solitude, this solitude provides him the opportunity to send his mind on errands.","Àlàmú ti wá ń gbádùn àdáwà, dídáwà yìí ń fún un ní àǹfààní láti rán ọkàn rẹ̀ níṣẹ́."
1,"It gives him the chance to talk alone, and call on the invisible power from above to come down and solitude gives him the chance to laugh alone to himself.","Ó  ń fún un ní ààyè láti dá sọ̀rọ̀, kí ó sì pe àwọn ẹ̀mí àìrí látòkè wá pé kí wọ́n sọ̀kalẹ̀ wá láti wá yanjú àwọn ìṣòrò rẹ̀ fún un áti pàápàá jùlọ, ìdáwà yìí ń fún ní ààyè láti dá ẹ̀rín rín sí ara rẹ̀."
2,A big laugh for a big problem! – strange as that is.,Ẹ̀rín ńlá fún ìṣòro ńlá! Bí ó ti jẹ́ ìjọlójú.
3,"Whenever his wife disappeared into the corner of the street, in company of the house maid on her way to the market, and Alamu was left alone at home, he would quickly switch off the radio set to ensure perfect silence.","Nígbàkugbà tí ìyàwó rẹ̀ pẹ̀lú ọmọ ọ̀dọ̀ wọn bá ti pòórá sí kọ̀ọ̀rọ̀ òpópónà lọ́nà ọjà, tí ó sì ku Àlàmú nìkan sílẹ̀, kíá ni yóò pa ẹ̀rọ asọ̀rọ̀mágbèsì, kí gbogbo ilé lè dákẹ́ rọ́rọ́."
4,The time had come for his lips to tremble in silent whispers.,Àsìkò dé fún ètè rẹ̀ láti máa gbọ̀n rìrì pẹ̀lú ìṣọ̀rọ̀ kẹ́lẹ́kẹ́lẹ́.
5,"`I`ll survive it, `am not – the only man in this – this city, surely – surely I am not.","“Màá yèé, èmi nìkan kọ́kọ́ ni ọkùnrin ní ìlú yìíyìí, dájú dájú èmi nìkan kọ́."
6,So – I`ll – I`ll survive.,"Fún ìdí èyí, màá – màá yè é."
7,All will be – will be well at last- at last - with me.,Ohun gbogbo á – ádára ní ìkẹyìn - ní ìkẹyìn - fún mi.
8,The time had also come for his mouth to open up for that strange uproarious laughter:,Àsìkò ti tó fún ẹnu rẹ̀ láti bẹ̀rẹ̀ ẹ̀rín aláruwo abàmì rẹ̀:
9,"`Ha ha ha ha – hum hum – ha ha ha ha… Yes, - ha ha ha ... Oh yes - hum hum - ha ha ha ha ...'","“Ha ha ha ha, hun hun—ha ha ha ha........bẹ́ẹ̀ ni ha ha ha ha ha.....bẹ́ẹ̀ ni o – hun hun ha ha ha ha”."
10,"Alamu`s curious laughter might last for about one minute at times, it would stretch for much longer, almost non-stop	! ","Ẹ̀rín abàmì Àlàmú yìí lè tó ìṣẹ́jú kan nígbà mìíràn, ó máa ńpẹ́ jù bẹ́ẹ̀ lọ, bí ẹni pé kò ní dáwọ́ èrín náà dúró mọ́! "
10,"He would open wide his mouth, like the tired hunter`s dog and laugh – laugh at himself, laugh at his predicament, and laugh at the wicked world which now lay in front of him as he peeped from the verandah of his three bedroom flat.", "Yóò la ẹnu rẹ̀ fẹ̀ bí i ti ajá ọde tí ó ti rẹ̀, á wá rẹ́rìn-ín, rẹ́rìn-ín rẹ̀, rẹ́rìn-ín ìṣòro rẹ̀, rẹ́rìn-ín ilé ayé burúkú tí ó dùbúlẹ̀ síwájú rẹ̀ bí ó ṣe ń yọjú láti ọdẹdẹ ilé oníyàrá mẹ́ta rẹ̀."
