English,Yoruba
The Lagos State Government says that ten victims of the July 4  Ijegun pipeline explosion have died due to severe and high degree burns suffered from the inferno.,Ìjọba ìpínlẹ̀ Èkó ní àwọn ènìyàn méwàá tó farakáásáá níbi ìsẹ̀lẹ̀ iná tó sẹlẹ̀ ní ọjọ́  kẹ̀rin oṣù Agẹmọ ní ìlú Ìjegun lóti dágbéré fún áyé bótijépé iná ohun ti jó wọn kọjá sísọ.
"The Permanent Secretary, State Ministry of Health, Dr Titilayo Goncalves, who made this known to newsmen in Lagos,said that three of the victims died at the Lagos State University Teaching Hospital, Ikeja, while seven died at Gbagada General Hospital.",Akọ̀wé ìjoba lórí ètò ìlera Dókítà Títílayò Goncalves tò bá àwọn Akọ̀ròyìn sọ̀rọ̀ ní mẹ́ta lára wọn lókú ní ilé ìwòsàn ẹ̀kọ́ṣẹ́ ètò ìlera Lagos State University Teaching Hospital Ikeja tí àwọn méje míì sì pàdánù ẹ̀mí ní Gbàgádà General Hospital Léèkó.
"According to her, out of the 22 victims rescued by the Lagos State Ambulance Service, nine were taken to LASUTH, 12 to Trauma and Burns Unit of Gbagada General Hospital and one to Alimosho General Hospital.","Nínú ọ̀rọ̀ rẹ̀, ó ní àwọn ènìyàn méjìlélógún tí wọ́n fi Ọkọ̀ pàjáwìrì gbé níbi ìṣẹ̀lẹ̀ ọ̀hún ni wọ́n gbé ènìyàn mẹ́sàn án sí LASUTH, tí méjìlá sì wà ní ẹka ìjàmbá iná Gbàgádà General Hospital tí ẹ̣nìkan sì wà ni Àlímòṣọ́ General Hospital."
"She also said that they are doing everything possible to ensure that no other life is lost and from reports received, they are responding to treatment.",Dókítà Titilayo ní gbogbo ìgbìyànjú làwọn wa láti máse pàdánù ẹ̀mí Kankan mọ́. Bákanáà lóní ara àwọn tó kù ti ń yá.
"Greece's new Prime Minister, MrKyriakos Mitsotakis has said that he would not fail to honour the hopes of the Greek people after New Democracy's landslide victory.","Ààrẹ tintun orílẹ̀ èdè Greece’s, Mrkyriakos Mitsotakis ti ní òun ò ní já àwọn ará ìlú ní tàn-án mọ̀n lẹ́hìn tí Ìjọba ti bọ́si lọ́wọ́."
Mr. Mitsotakis emerged the winner of the election with several votes.,Mr Mitsotakis tófi ẹ̀yìn akegbẹ́ jọnlẹ̀ pẹ̀lú àbájáde egbelemùkú ìbò.
This Prime minister said his government will be a peaceful one.,Prime minister yìí tún ní òun yóò ṣe ìjọba àlááfíà lórí gbogbo ará ìlú.
He also promised to renegotiate a deal with Greece's creditors that would allow more money to be reinvested in the country.,Bákannáà lótún ṣe ìlérí láti sè ìpàdé pẹ̀lú àwọn Olókòwò Greece láti leè fàyè gba ọ̀pọ̀lọpọ̀ owó síi ìlú.
"President Muhammadu Buhari returned to Abuja on Monday after attending the 12th Extraordinary Summit of the African Union in Niamey, Niger Republic.",Ààrẹ Mohammedu Buhari ti padá sí Àbújá lọ́jọ́ ajé lẹ́hìn ìpàdè ẹlẹ́ẹ̀kejìlá àpèjọ àrà ọ̀tọ̀ pẹ̀lú Àjo Africa Union ní Niamey Niger Republic.
The News Agency of Nigeria reports that the presidential aircraft conveying the President and some members of his entourage landed at àthe Presidential Wing of the Nnamdi Azikiwe International Airport Abuja at about 1:25 p.m.,Àjọ Akọ̀ròyìn News Agency of Nigeria jábọ̀ pé ọkọ̀ òfurufú tó gbé Ààrẹ àti àwọn tí wọ́n jọ kọ́ọ̀wọ̀rìn balè igun pápákọ̀ Nnamdi Azikwe International Airport Abuja ní aago kan kọjá ìṣẹ́jú mẹ́ẹ̀dógún.
