English,Yoruba
Facebook's role in Brexit - and the threat to democracy.,Ipa Facebook nínú Brexit – àti ìdẹ́rùbà rẹ̀ sí ìjọba àwarawa.
"So, on the day after the Brexit vote, in June 2016, when Britain woke up to the shock of discovering that we're leaving the European Union, my editor at the ""Observer"" newspaper in the UK asked me to go back to South Wales, where I grew up, and to write a report.","Nítorí náà, ní ọjọ́ kejì lẹ́yìn ìbo Brexit, ní oṣù Òkúdù ọdún 2016, nígbà tí orílẹ̀-ède Brítain jí sí ìjayà mímọ̀ wí pé à ń kúrò Àjọ-Ìgbìmọ Ilẹ̀-Europe sílẹ̀, olóòtú mi ní ìwé-ìròyin “Observer” ní orílẹ̀-ède UK sọ fún mi wí pé kí n padà sí South Wales, níbi tí mo ti ṣe kékeré, kí n sì kọ ìjábọ̀."
And so I went to a town called Ebbw Vale.,Mo bá lọ sí ìlú kan tí wọ́n ń pè ní Ebbw Vale.
Here it is.,Òun rè é.
"It's in the South Wales Valleys, which is this quite special place.","Ó wà ní South Wales Valleys, t’ó jẹ́ ibi àkànṣe tí ó pa lọ́wọ́ báyìí."
"So it's had this very, sort of rich, working-class culture, and it's famous for its Welsh male voice choirs and rugby and its coal.","Nítorí náà ó ti ní àṣà ọ̀wọ́-òṣìṣẹ́, ibi ọrọ̀, ó sì gbajúmọ̀ fún ohùn àwọn ẹgbẹ́ akọrin olóhùn ọkùnrin Welsh àti bọ́ọ̀lù àláfọwọ́-fẹsẹ̀ gbá àti èédú rẹ̀."
"But when I was a teenager, the coal mines and the steelworks closed, and the entire area was devastated.","Ṣùgbọ́n nígbà tí mo wà ni ọ̀gọ̀ṣọ́, ìwakùsà èédú àti iṣẹ́-ọnà irinlílọ̀ di títìpa, tí gbogbo agbègbè náà sì ti bàjẹ́."
"And I went there because it had one of the highest ""Leave"" votes in the country.",Nígbà tí mo sì lọ síbẹ̀ nítorí ó ní ọ̀kan lára ìbo “Kúrò” tó pọ̀jù lọ ní orílẹ̀-èdè náà.
Sixty-two percent of the people here voted to leave the European Union.,Ìdá méjì-lé-lọ́gọ́ta àwọn ènìyàn níbí l’ó dìbò láti fi Àjọ-Ìgbìmọ Ilẹ̀ Europe sílẹ̀.
And I wanted to know why.,Mo sì fẹ́ mọ ìdí rẹ̀.
"When I got there, I was just a bit taken aback, because the last time I went to Ebbw Vale, it looked like this.","Nígbà tí mo débẹ̀, ó yà mí lẹ́nu díẹ̀, nítorí ìgbà tí mo lọ sí Ebbw Vale kẹ́yìn, ó rí báyìí."
"And now, it looks like this.","Ṣùgbọ́n nísìnyìí, ó rí báyìí."
This is a new 33-million-pound college of further education that was mostly funded by the European Union.,Ilé-ẹ̀kọ́ gíga oní owó pọ́ùn àádọ́ta-ọ̀kẹ́ 33 tuntun fún ìtẹ̀síwájú ètò-ẹ̀kọ́ tí púpọ̀ nínú owó yẹn wá láti ọwọ́ Àjọ-Ìgbìmọ Ilẹ̀ Europe.
And this is the new sports center that's at the middle of 350-million-pound regeneration project that's being funded by the European Union.,Ibi eré-ìdárayá tuntun rè é tí ó wà láàárín iṣẹ́ àkànṣe ìsọdọ̀tun oní àádọ́ta-ọ̀kẹ́ 350 owó pọ́ùn tí Àjọ-Ìgbìmọ Ilẹ̀ Europe ń ṣe onígbọ̀wọ rẹ̀.
"And this is the new 77-million-pound road-improvement scheme, and there's a new train line, a new railway station, and they're all being funded by the European Union.","Èyí ni ètò àtúnṣe ọ̀nà tuntun oní owó póùn àádọ́ta-ọ̀kẹ́ 77, ojú ọ̀nà ọkọ̀-ojú-irin tuntun náà wà, ibùdókọ̀ àwọn ọkọ̀ ojúurin tuntun, tí ó jẹ́ wí pé Àjọ-Ìgbìmọ Ilẹ̀ Europe ló ń ṣe onígbọ̀wọ gbogbo rẹ̀."
"And it's not as if any of this is a secret, because there's big signs like this everywhere.","Kì í sì ṣe wí pé ìkankan nínú àwọn wọ̀nyìí jẹ́ àṣìírí, nítorí àwọn àpẹẹrẹ ǹlá bí èyí wà káàkiri."
[EU Funds: Investing in Wales],[Owó Ìgbọ̀wọ́ EU: ìdókòwò nínú Wales].
"I had this sort of weird sense of unreality, walking around the town.",Mò ti ní ìmọ̀lára àjòjì yìí nípa àìjóòótọ́ bí mo ṣe ń rìn káàkiri ìlú náà.
And it came to a head when I met this young man in front of the sports center.,Ó wá sími lórí nígbà tí mo pàde ọ̀dọ́mọkùnrin kan níwáju ibi eré ìdárayá náà.
"And he told me that he had voted to leave, because the European Union had done nothing for him.","Ó sọ fún mi wí pé òún ti dìbò láti kúrò, nítorí Àjọ-ìgbìmọ Ilẹ̀ Europe ò ṣe nǹkankan fún òun."
He was fed up with it.,Ó ti sú u.
"And all around town, people told me the same thing.","Yíká gbogbo ìlú, oun kan náà ni àwọn ènìyàn ń sọ fún mi."
"They said that they wanted to take back control, which was one of the slogans in the campaign.","Wọ́n ní àwọn fẹ́ gba ìṣàkóso padà, èyí t’ó jẹ́ ọ̀kan lára ìpèdè nínú ìpolongo náà."
And they told me that they were most fed up with the immigrants and with the refugees.,Wọ́n sọ fún mi wí pé ti àwọn àṣíkiri àti àwọn ogúnléndé ni ó tojú sú àwọn jù.
They'd had enough.,Àwọ́n ti rí tó.
Which was odd.,Léyìí tó ṣájòjì.
"Because walking around, I didn't meet any immigrants or refugees.","Torí bí mo ṣe rìn káàkiri, mi ò rí àṣíkiri tàbí ogúnléndé kankan."
I met one Polish woman who told me she was practically the only foreigner in town.,Mo pàde arábìnrin ọmọ Poland kan tí ó sọ fún mi wí pé òun nìkan ni àjòjì tó wà nínú ìlú náà.
"And when I checked the figures, I discovered that Ebbw Vale actually has one of the lowest rates of immigration in the country.","Nígbà tí mo wo iye rẹ̀, mo rí i wí pé Ebbw Vale ní ọ̀kan lára ìgbéléwọ̀n ìṣílọ-sí-ìlú-òkèèrè-mìíràn t’ó kéré jùlọ ní orílẹ̀-èdè náà."
"And so I was just a bit baffled, because I couldn't really understand where people were getting their information from.","Ó fa ìpòrúru ọkàn díẹ̀ fún mi, nítorí mi ò ní ò ye ibi tí àwọn ènìyán ti ń gba ìfitónilétí wọn."
Because it was the right-wing tabloid newspapers which printed all these stories about immigration.,Nítorí ìwé-ìroyìn apá-ọ̀tun l’ó ṣe àtẹ̀jáde gbogbo ìròyìn nípa ìṣílọ-sí-ìlú-òkèèrè-mìíràn wọ̀nyí.
And this is a very much left-wing Labour stronghold.,Tí èyí sì fi púpọ̀ wà ní sàkání apá-òsì Iṣẹ́-ṣíṣe.
"But then after the article came out, this woman got in touch with me.","Ṣùgbọ́n lẹ́yìn tí àpilẹ̀kọ náà jáde, obìnrin yìí kàn sí mi."
"And she was from Ebbw Vale, and she told me about all this stuff that she'd seen on Facebook.","Ó wá láti Ebbw Vale, ó sọ fún mi nípa gbogbo àwọn nǹkan yìí t’ó ti rí lórí Facebook."
"I was like, ""What stuff?","Mo béèrè wí pé, “nǹkan wo?"
""" And she said it was all this quite scary stuff about immigration, and especially about Turkey.","“Ó sọ wí pé gbogbo àwọn nǹkan abanilẹ́rù yìí nípa ìṣílọ-sí-ìlú-òkèèrè-mìíràn, pàápàá jùlọ nípa orílẹ̀-èdeTurkey."
So I tried to find it.,Torí náà mo gbìyànjú láti sàwárí rẹ̀.
But there was nothing there.,Ṣùgbọ́n kò sí nǹkankan níbẹ̀.
Because there's no archive of ads that people had seen or what had been pushed into their news feeds.,Nítorí kò sí àká ti ìpolówó tí àwọn ènìyán ti rí tàbí ǹnkan tí wọ́n ti tì sí ìkànnì afúnni níròyin wọn.
"No trace of anything, gone completely dark.","Kò sí ìtọsẹ̀ nǹkankan, ó ti dúdú pátápátá."
And this referendum that will have this profound effect forever on Britain -- it's already had a profound effect: the Japanese car manufacturers that came to Wales and the north east to replace the mining jobs -- they are already going because of Brexit.,Ìbò yìí tí yóò nípa ńlá lára Britain títí-láyé -- ó wulẹ̀ ti nípa ńlá: àwọn ará Japan tí wọ́n ń ṣe ọkọ̀ ilẹ̀ tà tí wọ́n wá sí orílẹ̀-èdè Wales àti àríwá ìlà-oòrùn láti rọ́pò iṣẹ́ ìwakùsà -- wọ́n ti ń lọ nítorí Brexit.
"And this entire referendum took place in darkness, because it took place on Facebook.","Gbogbo ìbò yìí wáyé nínú òkùnkùn, nítorí ó wáyé lórí Facebook."
"And what happens on Facebook stays on Facebook, because only you see your news feed, and then it vanishes, so it's impossible to research anything.","Nǹkan tó bá sì ṣẹlẹ̀ lórí Facebook yóò dúró sórí Facebook, nítorí ìwọ nìkan lò ń rí afúnni níròyin rẹ, yóó sì di ofò, nítórí náà kò ṣe é ṣe láti ṣèwádìí nǹkankan."
"So we have no idea who saw what ads or what impact they had, or what data was used to target these people.","Torí náà a ò mọ̀ ẹni tí ó rí irú ìpolówó tàbí ipa tí wọ́n ní, tàbí ìwífún-alálàyé tí ó jẹ́ lílò láti darí ìpolówó sí àwọn ènìyàn wọ̀nyí."
"Or even who placed the ads, or how much money was spent, or even what nationality they were.","Tàbí ta ni ẹni t’ó fi ìpolówó náà síbẹ̀, tàbí èélòó lowó tí wọ́n ná, tàbí ọmọ orílẹ̀-èdè tí wọ́n jẹ́."
But Facebook does.,Ṣùgbọ́n Facebook mọ̀.
"Facebook has these answers, and it's refused to give them to us.","Facebook ní àwọn ìdáhùn wọ̀nyí, ó sì kọ̀ láti kó wọn fún wa."
Our parliament has asked Mark Zuckerberg multiple times to come to Britain and to give us these answers.,Àwọn aṣòfin wa ti sọ fún Mark Zuckerberg lọ́pọ̀ ìgbà pé kó wá sí orílẹ̀-èdè Britain láti wá fún wa ní àwọn ìdáhùn wọ̀nyí.
"And every single time, he's refused.","Ní àsìkò kọ̀ọ̀kan, ó kọ̀ jálẹ̀."
And you have to wonder why.,Tí ènìyàn sì ní láti wòye oun t’ó fa sábàbí
Because what I and other journalists have uncovered is that multiple crimes took place during the referendum.,Nítorí nǹkan tí èmi àti àwọn akọ̀ròyìn mìíràn ti wú jáde ni wí pé ọ̀kẹ́ àìmọye ìwà-ọ̀daràn ló wáyé lásíkò ìbò náà.
And they took place on Facebook.,Wọ́n sì wáyé lórí Facebook.
"It's because in Britain, we limit the amount of money that you can spend in an election.","Ìdí ni wí pé ní ilẹ̀ Britain, a fi gbèdéke sí iye owó tí ènìyàn lè ná nínú ìbò."
"And it's because in the 19th century, people would walk around with literally wheelbarrows of cash and just buy voters.","Ìdí sì ni wí pé ní ọ̀rún-ọdún 19, láwòmọ lítírésọ̀ àwọn ènìyàn máa ń rìn káàkiri pẹ̀lú kẹ̀kẹ́-akẹ́rù-ẹlẹ́sẹ̀-kan t’ó kún fún owó láti ra àwọn olùdìbò."
So we passed these strict laws to stop that from happening.,Torí náà a ṣé àwọn òfin t’ó múná wọ̀nyí láti dẹ́kun ìyẹn kí ó má wáyé.
But those laws don't work anymore.,Ṣùgbọ́n àwọn òfin wọ̀nyẹn kò ṣiṣẹ́ mọ́.
This referendum took place almost entirely online.,Ìbò yìí wáyé lápapọ̀ lórí ẹ̀rọ ayélukára-bí-ajere.
"And you can spend any amount of money on Facebook or on Google or on YouTube ads and nobody will know, because they're black boxes.","Ènìyàn sì lè ná owó iye-kí-ye lórí Facebook tàbí lórí Google tàbí ìpolówó lórí YouTube tí ẹnikẹ́ni ò ní mọ̀, nítorí àwọn ohun tí ó fara sin ni wọ́n."
And this is what happened.,Ohun t’ó ṣẹlẹ̀ rè é.
We've actually got no idea of the full extent of it.,A ò ní ìmọ̀ kankan nípa bó ṣe tó ní kíkún.
"But we do know that in the last days before the Brexit vote, the official ""Vote Leave"" campaign laundered nearly three quarters of a million pounds through another campaign entity that our electoral commission has ruled was illegal, and it's referred it to the police.","Ṣùgbọ́n a mọ̀ wí pé ní àwọn ọjọ́ t’ó kẹ́yìn kí ìbò Brexit ó tó bẹ̀rẹ̀, ìpolongo gangan “Dìbo Kúrò” fẹ́rẹ̀ẹ́ kó ìdá mẹ́ta àádọ́ta-ọ̀kẹ́ owó póùn kan mì nípasẹ̀ ìpolongo mìíràn tí àjọ elétò ìdìbò wa ti pàṣẹ pé kò bófinmu, tí ó sì tari rẹ̀ sí akoto àwọn ọlọ́pàá."
"And with this illegal cash, ""Vote Leave"" unleashed a fire hose of disinformation.","Pẹ̀lú owó tí ò bófinmu yìí, “Dìbo Kúrò” ṣe ìtúsílẹ̀ ọ̀pá ìpaná ìfitónilétí-aṣinilọ́nà."
Ads like this.,Àwọn ìpolówó bí èyí.
[Turkey's 76m people joining the EU],[Àádọ́ta-Ọ̀kẹ́ 76 àwọn ènìyan orílẹ̀-èdè Turkey tí wọ́n ń darapọ̀ mọ́ EU].
"This is a lie, it's a total lie.","Irọ́ ni èyí, irọ́ pátápátá ni."
Turkey is not joining the European Union.,Orílẹ̀-èdè Turkey ò darapọ̀ mọ́ Àjọ-Ìgbìmọ Ilẹ̀ Europe.
