English,Yoruba
---Garkida attack is a sign of frustration – President Buhari,---Ààmì ìpinlẹ́mìí ni ìkọlù t’ó wáyé ní Garkida – Ààrẹ Buhari.
"President Muhammadu Buhari has condemned the boko haram attack on Garkida in Adamawa State, Northeast Nigeria, saying the terrorists were frustrated.","Ààrẹ Muhammadu Buhari ti dá ikọ̀ ọlọ̀tẹ̀ Boko Haram lẹ́bi látàrí ìkọlù t’ó wáyé ní wáyé ní ìlú Garkida ní ìpínlẹ̀ Adamawa, Àríwá-ìlà-oòrùn orílẹ̀-èdè Nàìjíríà."
President Buhari said in a statement: “These attacks on soft targets by the terrorists are obvious signs of frustration because my administration has significantly weakened boko haram’s military capability to invade and hold Nigerian territory unchallenged.”,"Ààrẹ Buhari sọ nínú àtẹ̀jáde kan: “Àwọn ìkọlù t’ó ń wáyé ní àwọn agbègbè kan láti ọwọ́ ikọ̀ Boko Haram jẹ́ àpẹẹrẹ pé ọkàn ikọ̀ Boko Haram kò balẹ̀ mọ́, nítorí pé ìjọba mi ti ṣẹ́ ìyẹ́ apá ikọ̀ ọmọ-ogun ọlọ̀tẹ̀ Boko Haram láti ya wọ agbègbè láì ní ìkọjú."
He extended his sympathy to families of the victims and assured citizens that no part of Nigeria would be abandoned to their fate.,"Ààrẹ wá bá àwọn ẹbí tó farapa nínú ìṣẹ̀lẹ̀ náà kẹ́dùn, ó sì ṣèlérí fún àwọn ọmọ orílẹ̀-èdè wí pé kò sí agbègbè tí àwọn yóò dá dá kádàrá wọn."
“Our gallant forces deserve our appreciation for repelling the attackers but they must go beyond this point.,“Ó yẹ kí a gbóṣùbà fún àwọn akínkanjú ikọ̀ ológun wa fún kíkojú ikọ̀ àwọn akọluni ṣùgbọ́n wọ́n gbọdọ̀ ṣe ju èyí lọ.
They have our full support to go after the terrorists and have them pay a huge price.,"Wọ́n ní àtìlẹyìn wa láti túbọ̀ kọlu ikọ̀ ọlọ̀tẹ̀ náa, kí wọ́n sì fimú wọn fọn fèrè."
I want to assure the country that terrorists will continue to face the combined power of our military until they give up their mistaken ways.,Mò fẹ́ fọkàn ọmọ orílẹ̀ èdè náà balẹ̀ pé àwọn ọlọ̀tẹ̀ yóò túbọ̀ máa kọjú àpapọ̀ agbára ikọ̀ ọmọ ogun títí tí wọn yóò fi ronúpìwàdà níbi àṣìṣe wọn.
"President Buhari said since the coming of his administration, boko haram’s ability to invade and occupy Nigerian territories, let alone be able to hoist their flags, had been frustrated.","""Ààrẹ Buhari wá ní láti ìgbà tí ìjọba yìí ti dé orí àlééfà, akitiyan ikọ̀ Boko Haram láti dótì tàbí gba orílẹ̀ èdè Nàìjíríà, k’á má sọ ti ríri asia wọn mọ́lẹ̀, ni ó ti já sí pàbo."
---Army thwarts Boko Haram attack in Adamawa,---Ọmọ ogun bàbujá ìkọlù Boko Haram ní Adamawa.
"Army troops of 232 Battalion of 23 Armoured Brigade under Operation LAFIYA DOLE deployed in Garkida, Gombi LGA of Adamawa State thwarted a planned attack by Boko haram terrorists.","Ikọ̀ ọmọ ogun Ẹgbẹ́-ọmọ-ogun 232 ti Ẹgbẹ́-ológun Ìhámọ́ra 23 lábẹ́ LAFIYA DOLE tí wọ́n kó lọ sí Garkida, ní ìjọba ìbílẹ̀ Gombi ní ìpínlẹ̀ Adamawa ti ba ète ìkọlù Boko Haram jẹ́."
