,English,Yoruba
0,"We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?",A di gàárì sílẹ̀ ewúrẹ́ ń yọjú; ẹrù ìran rẹ̀ ni?
1,"You have been crowned a king, and yet you make good-luck charms; would you be crowned God?",A fi ọ́ jọba ò ń ṣàwúre o fẹ́ jẹ Ọlọ́run ni?
2,"By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight, but take possession of Awà anyway, is the result not the same?","A fijó gba Awà; a fìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?"
3,We lift a saddle and the goat (kin) scowls; it is no burden for a sheep.,A gbé gàárì ọmọ ewúrẹ́ ń rojú; kì í ṣe ẹrù àgùntàn.
4,One does not share a farm boundary with a king without getting one's feet gashed by the king's hoe.,A kì í bá ọba pàlà kí ọkọ́ ọba má ṣánni lẹ́sẹ̀.
5,One does not get angry with the rubbish dump and discard one's rubbish into the bush.,A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́.
6,One does not get angry with one's head and therefore use one's cap to cover one's buttocks.,A kì í bínú orí ká fi fìlà dé ìbàdí.
7,One does not so fear death and disease that one asks that one's child die before one.,A kì í bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.
8,"One does not sacrifice to a god in the presence of a house rat; otherwise, when night falls it invades the rafter shelves.",A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ.
9,One does not become an adult and yet lack courage; one lives life as it finds one.,A kì í dàgbà má làáyà; ibi ayé bá báni là ń jẹ ẹ́.
10,One does not lay one's hands on a load one cannot lift.,A kì í dá ọwọ́ lé ohun tí a ò lè gbé.
11,One does not set the day for an orò rite and then ignore it.,A kì í dájọ́ orò ká yẹ̀ ẹ́.
12,One does not keep quiet and yet misspeak; one does not silently contemplate the world and yet get into trouble.,A kì í dákẹ́ ká ṣìwí; a kì í wò sùn-ùn ká dáràn.
13,One does not arrive at Màrọ́kọ́ ahead of the litigant.,A kì í dé Màrọ́kọ́ sin ẹlẹ́jọ́.
14,One does not carry debt around one's neck and live like a dandy.,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.
15,"One does not use one's finger to clean one's ear passages, use it to pick one's nose, and then use it to pick one's teeth.","A kì í fi ìka ro etí, ká fi ro imú, ká wá tún fi ta eyín."
16,One does not liken one's fortune to Mokúṣiré's; if Mokú dies in the morning. he resurrects at night.,A kì í fi orí wé oríi Mokúṣiré; bí Mokú kú láàárọ̀ á jí lálẹ́.
17,One does not come by yam-flour because of one's importance; only people who have yams can make yam flour.,A kì í fi pàtàkì bẹ́ èlùbọ́; ẹní bá níṣu ló ń bẹ́ ẹ.
18,One cannot be given the title “eagle” and yet be incapable of snatching chickens.,A kì í fini joyè àwòdì ká má lè gbádìyẹ.
19,One does not carry alms beyond the mosque.,A kì í gbé sàráà kọjáa mọ́ṣáláṣí.
20,One never hears “Beat him/her up” in the mouth of an elder.,A kì í gbọ́ “Lù ú” lẹ́nu àgbà.
21,One cannot be wiser than the person for whom one will consult the Ifá oracle.,A kì í gbọ́n ju ẹni tí a máa dÍfá fún.
